x y
207.67182455014645 1097.2658257717007
999.3960868586023 297.3855545996439
596.836865932474 986.5423210997728
317.82412693174217 690.4517492338438
198.34952607511963 1106.168046926363
1292.6647000964892 1204.2292730582249
990.5070809549203 292.34603413916517
1098.75334508829 94.23803309197292
603.7964761471958 1003.1455445954189
307.86982532597665 712.3760950564158
1504.2786910269078 1500.2174874202544
1308.6073398497424 1191.0461774436633
1307.648103269313 1201.538678496872
1495.5108091550712 1488.163437016437
307.4840629247341 699.50083701259
1090.2973603996852 97.56839281741617
1005.9226688057062 307.7218402974269
1309.2942274423176 1188.055180022111
1099.6596240384386 80.49978091179169
603.0137016903992 1013.4298686122412
1493.2610393813582 1499.5753299158328
306.73299933075157 703.6745100752315
1498.8293407371125 1495.5100981182675
599.3868488036508 998.516040881893
610.9400106886073 998.276763487067
1501.7725549823563 1504.0975958497997
1007.5019924520333 315.8814857743607
214.81867304600917 1100.925483627954
1514.1601415166779 1488.7422008004116
603.4225800458225 987.5271392273104
1495.8252065719894 1485.4562405820643
288.79990947449596 696.6120885330554
1303.3954140598078 1213.1397501143663
1101.997879705794 111.61265841338476
296.87647910125213 704.6828247347098
195.43378530476693 1107.673651518116
301.6269028760617 697.0352249164848
612.1597721837707 991.6928908194986
1096.2254086779838 121.57678535304086
1103.539400922817 93.80205661775373
994.7135428228289 310.74940417768113
1003.7013597618761 284.49992282460005
604.971845718246 995.7951659953011
304.06151196957444 693.1459468702889
1101.8665848989497 96.791398352486
1304.6997605593865 1206.6644565195575
1017.4620661549417 317.1816699990341
1095.4992646363294 103.64732231663483
982.1082867640764 288.53832903543235
1290.6824853627654 1210.0002581219126
1300.4255263736375 1223.9211478225568
1307.4853944100464 1193.9593689211956
996.0318141483823 295.05463135148074
195.46815390278766 1089.4580425528998
208.65201427688405 1108.7171480593454
604.9128848596212 1022.5024145492531
1510.1771273110662 1513.8665101593201
1306.9923853685978 1201.5729284142724
1509.3110917199083 1493.248799115319
1107.147348710865 102.475526640768
1500.0265203452755 1494.268864179546
213.218290448286 1099.40153341574
305.69306725701693 702.6633804109165
609.9148484120539 998.8568267447124
281.0119233257004 695.4157667261985
195.22212440037444 1106.3200036264902
1082.3793368216238 105.48530997156897
177.39104972301965 1100.11928941903
208.58487264899932 1087.938079967765
996.2432848015366 304.3754949764811
